,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
223164,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,70,73,화,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.1168
223313,여,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,오르막,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,23,70,토,야,비사업용 승용차,비사업용,보행자,보행자,남,좌회전중,보행자 마주보고통행,보행자,0.0068
223397,남,교차로아님,맑음,건조,포장 건조,아니오,이륜차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전모,보행자,차도통행중,차대사람 차도통행중,아니오,35,83,화,야,이륜차,이륜차,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.1168
223460,남,교차로아님,맑음,건조,포장 건조,아니오,이륜차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전모,보행자,횡단중,차대사람 횡단중,아니오,40,62,목,야,이륜차,이륜차,보행자,보행자,여,직진중,보행자 횡단보도내,보행자,0.1168
223481,여,교차로삼지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,기타불명,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,25,76,금,주,비사업용 승용차,비사업용,보행자,보행자,여,좌회전중,보행자 기타불명,보행자,0.1168
223625,남,교차로아님,흐림,젖음습기,포장 젖음습기,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,60,71,수,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.1168
223626,남,교차로아님,흐림,젖음습기,포장 젖음습기,아니오,이륜차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전모,보행자,횡단중,차대사람 횡단중,아니오,21,64,수,야,이륜차,이륜차,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.1168
223651,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,38,72,목,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 등지고통행,보행자,0.0068
223966,기타불명,교차로삼지,맑음,건조,포장 건조,아니오,기타불명,보행자,내리막,직선,직선,시도,교차로부근,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,0,73,월,주,기타불명,기타불명,보행자,보행자,여,기타불명,보행자 기타불명,보행자,0.0068
224461,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,56,60,수,야,비사업용 승용차,비사업용,보행자,보행자,여,좌회전중,보행자 마주보고통행,보행자,0.1168
